decision_id,title,agenda_no,meeting_type,decision_type,decision_date,detail_url
10521,「화재의 예방 및 안전관리에 관한 법률 시행령」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,제2026-209-155호,제 2 소 위 원 회,심의ㆍ의결,2026-05-13,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10521&type=HTML&mobileYn=
10473,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2026-207-109호,제 2 소 위 원 회,심의ㆍ의결,2026-04-08,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10473&type=HTML&mobileYn=
10451,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2026-207-119호,제 2 소 위 원 회,심의ㆍ의결,2026-04-08,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10451&type=HTML&mobileYn=
10449,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2026-207-117호,제 2 소 위 원 회,심의ㆍ의결,2026-04-08,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10449&type=HTML&mobileYn=
10483,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2026-207-116호,제 2 소 위 원 회,심의ㆍ의결,2026-04-08,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10483&type=HTML&mobileYn=
10469,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2026-207-110호,제 2 소 위 원 회,심의ㆍ의결,2026-04-08,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10469&type=HTML&mobileYn=
10475,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2026-207-111호,제 2 소 위 원 회,심의ㆍ의결,2026-04-08,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10475&type=HTML&mobileYn=
10477,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2026-207-112호,제 2 소 위 원 회,심의ㆍ의결,2026-04-08,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10477&type=HTML&mobileYn=
10457,,,제 1 소 위 원 회,심의ㆍ의결,,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10457&type=HTML&mobileYn=
10447,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2026-207-118호,제 2 소 위 원 회,심의ㆍ의결,2026-04-08,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10447&type=HTML&mobileYn=
10471,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2026-207-113호,제 2 소 위 원 회,심의ㆍ의결,2026-04-08,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10471&type=HTML&mobileYn=
10427,「전자상거래 등에서의 소비자보호에 관한 법률 시행령」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,제2026-206-094호,제 2 소 위 원 회,심의ㆍ의결,2026-04-08,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10427&type=HTML&mobileYn=
10425,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2026-206-091호,제 2 소 위 원 회,심의ㆍ의결,2026-03-25,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10425&type=HTML&mobileYn=
10421,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2026-206-090호,제 2 소 위 원 회,심의ㆍ의결,2026-03-25,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10421&type=HTML&mobileYn=
10537,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2026-206-095호,제 2 소위원회,심의ㆍ의결,2026-03-25,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10537&type=HTML&mobileYn=
10419,파주시의 생활안정지원금 지급 업무를 위한 법무부 보유 개인정보 제공 요청에 관한 건,제2026-105-008호,제 1 소 위 원 회,심의ㆍ의결,2026-03-25,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10419&type=HTML&mobileYn=
10465,공공기관의 개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2025-026-305호,,심의ㆍ의결,2026-03-25,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10465&type=HTML&mobileYn=
10423,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2026-206-092호,제 2 소 위 원 회,심의ㆍ의결,2026-03-25,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10423&type=HTML&mobileYn=
10545,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2026-206-094호,제 2 소위원회,심의ㆍ의결,2026-03-25,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10545&type=HTML&mobileYn=
10415,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2026-206-088호,제 2 소 위 원 회,심의ㆍ의결,2026-03-25,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10415&type=HTML&mobileYn=
10411,「생활물류서비스산업발전법 시행령」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,제2026-206-077호,제 2 소 위 원 회,심의ㆍ의결,2026-03-25,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10411&type=HTML&mobileYn=
10535,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2026-202-034호,제 2 소위원회,심의ㆍ의결,2026-03-25,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10535&type=HTML&mobileYn=
10467,공공기관의 개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2026-005-025호,,심의ㆍ의결,2026-03-25,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10467&type=HTML&mobileYn=
10453,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2026-206-093호,제 2 소 위 원 회,심의ㆍ의결,2026-03-25,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10453&type=HTML&mobileYn=
10417,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2026-206-089호,제 2 소 위 원 회,심의ㆍ의결,2026-03-25,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10417&type=HTML&mobileYn=
10413,,,제 1 소 위 원 회,심의ㆍ의결,,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10413&type=HTML&mobileYn=
10405,소방서의 소방시설관리업자에 대한 감독 업무를 위한 관계인 보유 영상정보 제공 요청에 관한 건,제2026-104-005호,제 1 소 위 원 회,심의ㆍ의결,2026-03-11,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10405&type=HTML&mobileYn=
10407,,,제 1 소 위 원 회,심의ㆍ의결,,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10407&type=HTML&mobileYn=
10383,「성폭력방지 및 피해자보호 등에 관한 법률 시행령」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,제2026-204-044호,제 2 소 위 원 회,심의ㆍ의결,2026-02-25,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10383&type=HTML&mobileYn=
10363,교정기관의 수용자 신원확인을 위한 지문정보 처리 등에 관한 건,제2026-103-004호,제 1 소 위 원 회,심의ㆍ의결,2026-02-11,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10363&type=HTML&mobileYn=
10355,「공동주택관리법 시행령」일부개정안에 대한 개인정보 침해요인 평가에 관한 건,제2026-202-018호,제 2 소 위 원 회,심의ㆍ의결,2026-01-28,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10355&type=HTML&mobileYn=
10445,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2026-202-036호,제 2 소 위 원 회,심의ㆍ의결,2026-01-28,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10445&type=HTML&mobileYn=
10441,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2026-202-035호,제 2 소 위 원 회,심의ㆍ의결,2026-01-28,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10441&type=HTML&mobileYn=
10399,공공기관의 개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2026-002-003호,,심의ㆍ의결,2026-01-28,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10399&type=HTML&mobileYn=
10397,공공기관의 개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2026-002-003호,,심의ㆍ의결,2026-01-28,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10397&type=HTML&mobileYn=
10351,「세무사법 시행령」일부개정안에 대한 개인정보 침해요인 평가에 관한 건,제2026-202-019호,제 2 소 위 원 회,심의ㆍ의결,2026-01-28,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10351&type=HTML&mobileYn=
10365,,,제 1 소 위 원 회,심의ㆍ의결,,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10365&type=HTML&mobileYn=
10395,공공기관의 개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2026-002-003호,,심의ㆍ의결,2026-01-28,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10395&type=HTML&mobileYn=
10455,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,제2026-002-004호,,심의ㆍ의결,2026-01-28,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10455&type=HTML&mobileYn=
10353,「건설근로자의 기능등급확인증 발급 등에 관한 규칙」일부개정안에 대한 개인정보 침해요인 평가에 관한 건,제2026-202-020호,제 2 소 위 원 회,심의ㆍ의결,2026-01-28,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10353&type=HTML&mobileYn=
10331,「동물용 의약품등 취급규칙」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,제2026-201-9호,제 2 소 위 원 회,심의ㆍ의결,2026-01-14,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10331&type=HTML&mobileYn=
10339,「군사경찰의 직무수행에 관한 법률 시행령」일부개정안에 대한 개인정보 침해요인 평가에 관한 건,제2026-201-4호,제 2 소 위 원 회,심의ㆍ의결,2026-01-14,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10339&type=HTML&mobileYn=
