document_category,article,count
enforcement,제75조,668
enforcement,제2조,651
enforcement,제63조,632
enforcement,제29조,577
enforcement,제7조,554
enforcement,제6조,496
enforcement,제8조,473
enforcement,제66조,408
enforcement,제5조,357
enforcement,제30조,314
enforcement,제4조,287
enforcement,제64조,272
enforcement,제48조의2,269
enforcement,제18조,207
enforcement,제3조,189
enforcement,제39조의4,162
enforcement,제61조,157
enforcement,제48조의4,148
enforcement,제28조,113
enforcement,제21조,111
enforcement,제39조의15,111
enforcement,제48조의11,108
enforcement,제15조,107
enforcement,제26조,107
public_system_inspection,제61조,105
public_system_inspection,제29조,103
enforcement,제34조,102
public_system_inspection,제30조,101
other,제18조,99
public_system_inspection,제30조의2,96
enforcement,제24조,89
enforcement,제64조의2,80
enforcement,제25조,75
other,제3조,75
enforcement,제9조,73
enforcement,제24조의2,72
enforcement,제11조,71
other,제15조,62
data_provision_request,제18조,60
enforcement,제76조,57
other,제2조,57
enforcement,제10조,56
enforcement,제60조의2,56
enforcement,제17조,55
other,제61조,55
enforcement,제22조,54
enforcement,제23조,51
enforcement,제39조,47
enforcement,제40조,41
other,제4조,41
complaint_or_interpretation,제18조,40
enforcement,제30조의2,40
other,제30조,39
enforcement,제63조의2,38
other,제5조,34
other,제17조,34
enforcement,제65조,33
enforcement,제31조,33
enforcement,제39조의3,33
other,제8조,32
enforcement,제27조,32
other,제29조,30
privacy_impact_review,제18조,30
enforcement,제38조,29
enforcement,제39조의6,27
complaint_or_interpretation,제2조,26
other,제26조,26
enforcement,제59조,26
other,제21조,25
enforcement,제74조,25
enforcement,제33조,25
other,제24조의2,22
data_provision_request,제2조,22
enforcement,제12조,21
other,제7조,20
enforcement,제16조,20
enforcement,제48조의5,20
enforcement,제34조의2,20
other,제23조,18
other,제25조,17
data_provision_request,제17조,17
complaint_or_interpretation,제25조,17
other,제10조,16
other,제6조,16
other,제9조,16
data_provision_request,제23조,16
other,제19조,16
privacy_impact_review,제6조,16
complaint_or_interpretation,제3조,15
enforcement,제35조,15
privacy_impact_review,제3조,15
privacy_impact_review,제19조,15
enforcement,제40조의2,15
other,제11조,14
privacy_impact_review,제14조,14
enforcement,제19조,14
other,제16조,14
privacy_impact_review,제15조,14
privacy_impact_review,제11조,14
privacy_impact_review,제17조,14
privacy_impact_review,제23조,13
data_provision_request,제3조,13
data_provision_request,제8조,13
data_provision_request,제24조의2,12
other,제34조,12
enforcement,제64조의3,12
privacy_impact_review,제5조,12
enforcement,제32조,11
other,제14조,11
complaint_or_interpretation,제4조,11
privacy_impact_review,제9조,11
complaint_or_interpretation,제15조,10
other,제22조,10
other,제28조의2,10
enforcement,제37조,10
privacy_impact_review,제2조,10
other,제13조,10
enforcement,제27조의3,10
privacy_impact_review,제16조,10
privacy_impact_review,제20조,9
enforcement,제20조,9
other,제28조,9
other,제75조,9
privacy_impact_review,제42조,9
enforcement,제32조의2,9
other,제58조,9
data_provision_request,제19조,9
data_provision_request,제4조,9
data_provision_request,제15조,9
other,제12조,9
privacy_impact_review,제13조,9
privacy_impact_review,제7조,9
enforcement,제26조의2,9
privacy_impact_review,제4조,9
other,제64조,8
complaint_or_interpretation,제14조,8
enforcement,제14조의2,8
enforcement,제13조,8
other,제20조,8
complaint_or_interpretation,제58조,8
other,제39조,8
other,제40조,8
other,제24조,8
