violated_articles,count
제2조,766
제29조,717
제75조,677
제63조,643
제7조,591
제6조,544
제8조,531
제30조,464
제18조,437
제5조,414
제66조,409
제4조,357
제61조,321
제3조,309
제64조,283
제48조의2,270
제15조,208
제39조의4,162
제21조,151
제48조의4,149
제26조,146
제30조의2,138
제28조,132
제17조,129
제34조,121
제24조의2,116
제39조의15,111
제11조,110
제24조,110
제25조,110
제9조,108
제48조의11,108
제23조,104
제10조,93
제64조의2,84
제22조,77
제39조,67
제60조의2,64
제76조,63
제19조,56
제40조,55
제16조,50
제38조,49
제12조,48
제14조,48
제31조,47
제27조,45
제63조의2,40
제20조,39
제33조,37
제65조,36
제13조,35
제39조의3,33
제32조,32
제35조,30
제37조,29
제59조,29
제58조,28
제39조의6,27
제74조,26
제42조,22
제36조,21
제34조의2,21
제48조의5,20
제28조의2,19
제41조,18
제68조,16
제40조의2,16
제26조의2,14
제47조,13
제14조의2,13
제67조,12
제64조의3,12
제10조의2,11
제27조의3,11
제49조,10
제32조의2,10
제71조,10
제31조의2,10
제45조,9
제69조의2,9
제112조,9
제84조,8
제28조의8,8
제1조,7
제69조,7
제43조의2,7
제7조의9,7
제23조의2,7
제73조,7
제21조의2,7
제22조의2,7
제44조,7
제7조의8,7
제48조,6
제55조,6
제28조의3,6
제32조의3,6
제77조,6
제46조,6
제27조의2,6
제128조,6
제81조,6
제662조,6
제52조의2,5
제13조의2,5
제13조의3,5
제28조의4,5
제19조의2,5
제38조의2,5
제80조,5
제43조,5
제45조의2,5
제78조,4
제39조의12,4
제87조의3,4
제88조,4
제23조의3,4
제33조의2,4
제65조의2,4
제72조,4
제52조,4
제50조,4
제62조,4
제29조의5,4
제56조,3
제102조,3
제20조의4,3
제117조,3
제47조의3,3
제21조의3,3
제89조,3
제157조,3
제39조의2,3
제17조의3,3
제9조의2,3
제87조,3
제53조,3
제54조,3
제79조,3
제86조,3
제4조의2,3
제8조의2,3
제12조의2,3
제60조,3
제19조의4,3
제15조의2,3
제5조의2,3
제42조의2,3
제20조의3,3
제57조의2,3
제22조의3,3
제16조의4,3
제81조의13,2
제82조,2
제131조,2
제110조,2
제127조,2
제43조의3,2
제35조의2,2
제34조의3,2
제98조,2
제14조의4,2
제25조의3,2
제114조,2
제2조의2,2
제70조,2
제37조의2,2
제95조,2
제199조,2
제66조의2,2
제32조의4,2
제25조의2,2
제17조의2,2
제147조,2
제93조,2
제85조의3,2
제58조의3,2
제54조의2,2
제6조의2,2
제70조의2,2
제51조의2,2
제11조의4,2
제3조의3,2
제36조의2,2
제49조의11,2
제41조의2,2
제39조의10,2
제57조,2
제27조의4,2
제20조의2,2
제7조의2,2
제3조의5,2
제39조의7,2
제103조,2
제2조의3,2
제8조의3,2
제166조,1
제87조의2,1
제48조의3,1
제17조의5,1
제194조의6,1
제129조,1
제19조의5,1
제116조,1
제118조의18,1
제58조의2,1
제107조의2,1
제12조의5,1
제223조,1
제234조,1
제316조,1
제6조의3,1
제81조의2,1
제146조,1
제23조의4,1
제44조의5,1
제92조의2,1
제160조,1
제231조,1
제51조,1
제119조의11,1
제38조의3,1
제7조의3,1
제7조의6,1
제160조의3,1
제208조의3,1
제20조의6,1
제33조의3,1
제16조의2,1
제145조의2,1
제130조,1
제109조의3,1
제123조,1
제96조,1
제22조의4,1
제136조,1
제165조,1
제3조의2,1
제89조의2,1
제89조의3,1
제72조의2,1
제294조,1
제34조의8,1
제102조의2,1
제108조,1
제85조,1
제81조의6,1
제257조,1
제90조,1
제91조,1
제92조,1
제26조의3,1
제226조,1
제246조,1
제150조,1
제18조의3,1
제104조의2,1
제107조,1
제12조의4,1
제115조,1
제36조의4,1
제100조,1
제143조,1
제735조의3,1
제94조,1
제10조의12,1
제40조의3,1
제14조의7,1
제48조의6,1
제48조의7,1
제34조의6,1
제34조의9,1
제11조의6,1
제25조의6,1
제29조의2,1
제82조의2,1
제10조의4,1
제196조,1
제242조,1
제244조,1
제36조의1,1
제122조의2,1
제23조의17,1
제31조의8,1
제83조,1
제228조의2,1
제10조의3,1
제10조의5,1
제31조의6,1
제8조의8,1
제8조의9,1
제62조의2,1
제18조의2,1
제33조의4,1
제9조의4,1
제11조의2,1
제23조의6,1
제9조의20,1
제16조의5,1
제105조,1
제78조의2,1
제39조의9,1
제53조의2,1
제67조의2,1
제44조의3,1
제24조의6,1
제109조,1
제487조,1
제119조,1
제37조의3,1
제12조의15,1
