document_category,field,count,mean,median,max
complaint_or_interpretation,order_length,58,209.01724137931035,156.0,1132
complaint_or_interpretation,reason_length,58,1835.9827586206898,1555.5,7788
complaint_or_interpretation,document_length,58,2196.7586206896553,1893.5,8416
data_provision_request,order_length,127,165.13385826771653,135.0,502
data_provision_request,reason_length,127,1209.0393700787401,33.0,5332
data_provision_request,document_length,127,1540.5196850393702,504.0,5825
enforcement,order_length,912,295.2280701754386,181.0,8089
enforcement,reason_length,912,5015.3026315789475,3885.0,44763
enforcement,document_length,912,5438.487938596491,4185.0,45372
other,order_length,355,199.9774647887324,140.0,1482
other,reason_length,355,1855.887323943662,751.0,15326
other,document_length,355,2158.1605633802815,994.0,15375
prior_review,order_length,8,98.875,93.0,175
prior_review,reason_length,8,31.0,31.0,31
prior_review,document_length,8,246.75,248.5,327
privacy_impact_review,order_length,2419,83.5473336089293,61.0,1500
privacy_impact_review,reason_length,2419,32.2534105002067,32.0,284
privacy_impact_review,document_length,2419,277.0062009094667,257.0,1684
public_system_inspection,order_length,111,179.6036036036036,155.0,716
public_system_inspection,reason_length,111,2629.4414414414414,2293.0,7579
public_system_inspection,document_length,111,2927.7207207207207,2562.0,8248
