decision_id,decision_date,document_category,title,applicant,sanction_strength,sanction_types,monetary_amount,violated_articles,case_type,raw_xml_path
957,2012-11-12,complaint_or_interpretation,관악구 CCTV 영상정보 제공 관련 법령해석 요청 건,,0,,,제18조;제58조,목적 외 이용;제3자 제공;영상정보 처리,/home/bpkim/pipc/data/raw/decisions/957.xml
1113,2012-12-24,complaint_or_interpretation,교통영상정보 외부기관 연계ㆍ송출의 개인정보보호법 저촉 여부 질의 건,,1,개선권고,,제13조;제14조;제17조;제18조;제58조,유출·침해;영상정보 처리,/home/bpkim/pipc/data/raw/decisions/1113.xml
421,2013-05-27,complaint_or_interpretation,CCTV를 이용한 동의 없는 개인정보 수집처리에 관한 법령해석,,0,,,제18조;제24조;제25조,동의·고지 위반;목적 외 이용;영상정보 처리,/home/bpkim/pipc/data/raw/decisions/421.xml
371,2013-10-28,complaint_or_interpretation,개인정보보호 관련 법령해석 요청 건,,0,,,제18조;제6조,목적 외 이용;제3자 제공,/home/bpkim/pipc/data/raw/decisions/371.xml
377,2014-01-13,complaint_or_interpretation,폐업 국제결혼중개업소 이용자 신상정보 보존 관련 질의 건,,0,,,제10조;제10조의2;제10조의4;제18조;제21조;제5조;제9조,보유기간·파기 위반,/home/bpkim/pipc/data/raw/decisions/377.xml
1005,2014-05-12,complaint_or_interpretation,「개인정보 보호법」 제6조 및 제18조 관련 해석의 건 (개인정보보호위원회 심의ㆍ의결 통보사항에 대한 안전행정부의 추가질의 관련 법령해석의 건),,1,개선권고,,제10조;제11조;제13조;제14조;제15조;제18조;제1조;제21조;제22조;제23조;제24조의2;제29조;제2조;제32조;제47조;제6조;제81조의13;제82조,동의·고지 위반;목적 외 이용;민감정보·고유식별정보;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/1005.xml
1001,2014-06-09,complaint_or_interpretation,"건강보험증 송달 관련 민원처리의 건1. 주 문민원인 정OO(울산광역시 북구 거주)이 국민건강보험공단의 건강보험증 송달과 관련하여 제기한 민원에 대하여 다음과 같이 민원인에게 통지한다.“건강보험증은 우편봉투에 봉함되어 송달되고, 「우편법」에 따라 무단개봉, 훼손 등의 경우 처벌되는 등 제도적인 안전성이 마련되어 있으며, 「국세기본법」, 「고용보험 및 산업재해보상보험의 보험료징수에 등에 관한 법률」 등에서도 납세고지서, 보험료 관련 서류 등을 일반우편으로 송달할 수 있도록 허용하고 있을 뿐만 아니라, 투표안내문 등 다른 분야에서도 다수의 개인정보가 포함된 서류가 일반우편으로 송달되고 있는 사실을 감안할 때, 일반우편을 통한 건강보험증 송달이 「개인정보 보호법」을 위반한 것으로는 보기 어렵다고 할 것입니다.”2. 배 경민원인이 2014년 4월 29일 국민신문고를 통해 '국민건강보험공단이 건강보험증을 개인에게 송달함에 있어 등기우편이 아닌 일반우편으로 송달하고 있어 개선이 필요하며, 동 송달행위가 개인정보보호 관련 법령 위반이 아닌지 여부와 국민건강보험공단이 현재의 송달방법을 시정하지 않겠다고 밝혔는데 이에 대한 개인정보보호위원회의 공식적인 입장이 무엇인지’ 문의하는 내용의 민원을 제기하였다.",,0,,,제12조;제29조;제3조;제48조,유출·침해;동의·고지 위반;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/1001.xml
1143,2014-09-15,complaint_or_interpretation,의무교육대상자 취학독려를 위한 개인정보 이용ㆍ제공 가능여부 질의의 건,경기도 성남교육지원청 교육장,0,,,제12조;제13조;제15조;제17조;제18조;제25조;제27조,동의·고지 위반,/home/bpkim/pipc/data/raw/decisions/1143.xml
177,2015-02-23,complaint_or_interpretation,서울특별시의 소송비용 회수를 위한 개인정보 이용 관련 질의 건,서울특별시장,0,,,제107조;제12조;제147조;제18조;제21조;제24조의2;제25조;제2조;제61조;제69조;제87조,목적 외 이용;민감정보·고유식별정보;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/177.xml
205,2015-04-13,complaint_or_interpretation,포항시 통합관제센터 영상정보의 해병대 제1사단 제공 관련 질의 건,포항시장,0,,,제11조;제14조;제18조;제20조;제58조,영상정보 처리;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/205.xml
171,2015-06-08,complaint_or_interpretation,경찰청의 웨어러블 카메라 사용의 개인정보보호법령상 가능여부 질의 건,경찰청장,0,,,제15조;제2조;제3조,영상정보 처리,/home/bpkim/pipc/data/raw/decisions/171.xml
189,2015-06-08,complaint_or_interpretation,안양시 교통ㆍ방범 영상정보의 경찰서ㆍ소방서ㆍ군부대 제공 관련 질의 건,안양시장,0,,,제18조;제20조;제25조;제2조;제58조,유출·침해;동의·고지 위반;영상정보 처리;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/189.xml
203,2015-06-08,complaint_or_interpretation,경찰청의 인사 관련 개인정보 처리에 관한 질의 건,경찰청장,0,,,제100조;제102조;제143조;제15조;제18조;제19조;제24조의2;제27조;제39조;제48조;제4조;제6조;제735조의3;제8조,동의·고지 위반;민감정보·고유식별정보,/home/bpkim/pipc/data/raw/decisions/203.xml
197,2015-06-22,complaint_or_interpretation,청주시 영상정보의 방송ㆍ신문사 제공 관련 질의 건,청주시장,0,,,제18조,유출·침해;동의·고지 위반;목적 외 이용;영상정보 처리;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/197.xml
321,2015-07-13,complaint_or_interpretation,종로구 영상정보의 국회 제공 관련 질의 건,종로구청장,0,,,제128조;제18조;제3조;제8조,유출·침해;목적 외 이용;영상정보 처리,/home/bpkim/pipc/data/raw/decisions/321.xml
329,2015-08-24,complaint_or_interpretation,상주시 굴착공사 장소에 관한 정보의 주식회사 영남에너지서비스 제공 관련질의 건,상주시장,0,,,제2조;제3조,민감정보·고유식별정보,/home/bpkim/pipc/data/raw/decisions/329.xml
341,2015-08-24,complaint_or_interpretation,포항시 교통영상정보의 도로교통공단 제공 관련 질의 건,포항시장,0,,,제2조;제3조,유출·침해;영상정보 처리,/home/bpkim/pipc/data/raw/decisions/341.xml
343,2015-09-14,complaint_or_interpretation,국토교통부ㆍ한국도로공사 교통사고 영상정보의 손해보험사 제공 관련 질의 건,한국교통연구원,0,,,제12조;제18조;제2조;제3조;제78조,유출·침해;동의·고지 위반;목적 외 이용;영상정보 처리;처리위탁,/home/bpkim/pipc/data/raw/decisions/343.xml
337,2015-10-12,complaint_or_interpretation,시각장애인 운전면허 적성검사결과 제공 관련 질의 건,보건복지부장관,0,,,제18조;제19조;제23조;제24조;제24조의2;제32조;제45조의2;제88조;제89조,유출·침해;목적 외 이용;민감정보·고유식별정보;처리위탁,/home/bpkim/pipc/data/raw/decisions/337.xml
1059,2015-10-26,complaint_or_interpretation,경찰청의 거래대상 휴대폰/계좌번호 인터넷사기 피해신고 여부 확인 서비스 제공 관련 질의 건,경찰청장,0,,,제18조;제26조;제2조;제3조,유출·침해;목적 외 이용;처리위탁,/home/bpkim/pipc/data/raw/decisions/1059.xml
1045,2015-11-09,complaint_or_interpretation,육군 제6755부대의 대구ㆍ경북지역 통합관제센터 및 경찰 상황실 영상정보 제공에 대한 질의 건,육군 제6755부대장,0,,,제11조;제14조;제18조;제20조;제58조,영상정보 처리;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/1045.xml
1039,2015-11-23,complaint_or_interpretation,"충주시 교통, 방범 영상의 경찰서, 소방서, 군부대 제공 관련 질의 건",충주시장,0,,,제18조;제20조;제3조;제58조,유출·침해;동의·고지 위반;영상정보 처리,/home/bpkim/pipc/data/raw/decisions/1039.xml
1091,2015-12-28,complaint_or_interpretation,인천광역시 소방본부의 인천광역시 관내 영상 관련 질의 건,인천광역시,0,,,제18조;제25조,유출·침해;동의·고지 위반;영상정보 처리,/home/bpkim/pipc/data/raw/decisions/1091.xml
1087,2016-01-11,complaint_or_interpretation,쓰레기 무단투기 영상제공 관련 질의 건,동작구청장,0,,,제15조;제18조;제2조;제39조;제3조;제68조;제6조;제8조,유출·침해;영상정보 처리,/home/bpkim/pipc/data/raw/decisions/1087.xml
1097,2016-01-25,complaint_or_interpretation,대구광역시 북구청 영상정보 제공 관련 질의 건,대구광역시 북구청장,0,,,제18조;제2조;제30조;제31조;제37조;제3조;제46조;제4조,유출·침해;동의·고지 위반;안전조치 미흡;영상정보 처리,/home/bpkim/pipc/data/raw/decisions/1097.xml
1109,2016-01-25,complaint_or_interpretation,대구광역시 남구청 영상정보 제공 관련 질의 건,대구광역시 남구청장,0,,,제18조;제2조;제30조;제31조;제37조;제3조;제46조;제4조,유출·침해;동의·고지 위반;안전조치 미흡;영상정보 처리,/home/bpkim/pipc/data/raw/decisions/1109.xml
985,2016-03-14,complaint_or_interpretation,육군 제7516부대의 경주시 통합관제센터 영상정보 제공에 대한 질의 건,육군 제7516부대장,0,,,제14조;제18조;제20조;제58조,영상정보 처리;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/985.xml
1095,2016-04-11,complaint_or_interpretation,충청남도의 도청 소속 공무원 인사이력 도의회 제출 관련 질의 건,충청남도지사,0,,,제18조;제40조;제42조;제9조,유출·침해;목적 외 이용,/home/bpkim/pipc/data/raw/decisions/1095.xml
1103,2016-05-09,complaint_or_interpretation,피내사자의 개인정보 제공 관련 질의 건,국민연금공단,0,,,제18조,유출·침해;목적 외 이용;제3자 제공,/home/bpkim/pipc/data/raw/decisions/1103.xml
1093,2016-06-13,complaint_or_interpretation,지방공무원 배우자의 개인정보 처리 질의 건,행정자치부장관,0,,,제10조;제11조;제18조;제2조;제45조;제49조;제4조;제76조,유출·침해;목적 외 이용,/home/bpkim/pipc/data/raw/decisions/1093.xml
1083,2016-06-27,complaint_or_interpretation,시각장애인 운전면허 적성검사결과 제공 관련 추가 질의 건,도로교통공단이사장,0,,,제18조;제32조;제45조;제88조,유출·침해;목적 외 이용,/home/bpkim/pipc/data/raw/decisions/1083.xml
1099,2016-07-11,complaint_or_interpretation,한국수력원자력주식회사의 자체감사를 위한 개인정보 이용ㆍ제공 관련 질의 건,한국수력원자력주식회사,3,고발,,제18조;제20조;제223조;제234조;제2조;제316조,유출·침해;동의·고지 위반;목적 외 이용;제3자 제공;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/1099.xml
1101,2016-09-12,complaint_or_interpretation,고양시의 영상정보제공 관련 질의 건,고양시,0,,,제16조;제17조;제18조;제25조;제2조;제37조;제3조,안전조치 미흡;영상정보 처리;접근권한·내부통제,/home/bpkim/pipc/data/raw/decisions/1101.xml
1107,2016-09-26,complaint_or_interpretation,한국고용정보원의 연구목적을 위한 개인정보 처리 질의 건,한국고용정보원장,0,,,제13조의3;제15조;제18조;제2조;제4조,처리위탁;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/1107.xml
1115,2016-10-10,complaint_or_interpretation,국가공무원 배우자의 개인정보 처리 질의 건,인사혁신처장,0,,,제10조;제11조;제18조;제2조;제45조;제49조;제4조;제76조,유출·침해;목적 외 이용,/home/bpkim/pipc/data/raw/decisions/1115.xml
1121,2016-10-10,complaint_or_interpretation,지방공기업 임직원의 개인정보 제공 질의 건,전북개발공사,0,,,제146조;제18조;제2조;제49조;제4조;제61조,유출·침해;목적 외 이용,/home/bpkim/pipc/data/raw/decisions/1121.xml
