decision_id,cluster_id,document_category,decision_date,title,applicant,sanction_strength,sanction_types,monetary_amount,case_type,violated_articles
10001,7,privacy_impact_review,2024-11-27,「지방세특례제한법 시행규칙」일부개정안에 대한 개인정보 침해요인 평가에 관한 건,행정안전부장관,0,,,,
10003,7,privacy_impact_review,2025-06-25,「행정사법 시행규칙」일부개정안에 대한 개인정보 침해요인 평가에 관한 건,행정안전부장관,0,,,,
10005,3,privacy_impact_review,2025-06-25,「행정사법」일부개정안에 대한 개인정보 침해요인 평가에 관한 건,행정안전부장관,0,,,,
10007,11,other,2025-06-25,,,0,,,,
10009,15,enforcement,2025-07-23,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,(재)전남테크노파크 (사업자등록번호 : ),4,과징금;과태료;공표명령,98000000.0,유출·침해;동의·고지 위반;안전조치 미흡;민감정보·고유식별정보;정보주체 권리보장,제10조;제11조;제29조;제2조;제30조;제32조;제34조;제4조;제5조;제60조의2;제61조;제63조;제64조;제64조의2;제65조;제66조;제6조;제75조;제7조;제8조;제9조
1001,6,complaint_or_interpretation,2014-06-09,"건강보험증 송달 관련 민원처리의 건1. 주 문민원인 정OO(울산광역시 북구 거주)이 국민건강보험공단의 건강보험증 송달과 관련하여 제기한 민원에 대하여 다음과 같이 민원인에게 통지한다.“건강보험증은 우편봉투에 봉함되어 송달되고, 「우편법」에 따라 무단개봉, 훼손 등의 경우 처벌되는 등 제도적인 안전성이 마련되어 있으며, 「국세기본법」, 「고용보험 및 산업재해보상보험의 보험료징수에 등에 관한 법률」 등에서도 납세고지서, 보험료 관련 서류 등을 일반우편으로 송달할 수 있도록 허용하고 있을 뿐만 아니라, 투표안내문 등 다른 분야에서도 다수의 개인정보가 포함된 서류가 일반우편으로 송달되고 있는 사실을 감안할 때, 일반우편을 통한 건강보험증 송달이 「개인정보 보호법」을 위반한 것으로는 보기 어렵다고 할 것입니다.”2. 배 경민원인이 2014년 4월 29일 국민신문고를 통해 '국민건강보험공단이 건강보험증을 개인에게 송달함에 있어 등기우편이 아닌 일반우편으로 송달하고 있어 개선이 필요하며, 동 송달행위가 개인정보보호 관련 법령 위반이 아닌지 여부와 국민건강보험공단이 현재의 송달방법을 시정하지 않겠다고 밝혔는데 이에 대한 개인정보보호위원회의 공식적인 입장이 무엇인지’ 문의하는 내용의 민원을 제기하였다.",,0,,,유출·침해;동의·고지 위반;정보주체 권리보장,제12조;제29조;제3조;제48조
10011,11,data_provision_request,2025-07-09,관세청의 통관 업무 수행을 위한 출입국ㆍ외국인청 보유 개인정보 제공 요청에 관한 건,관세청장,0,,,목적 외 이용,
10013,11,other,2025-07-23,,,0,,,,
10015,8,enforcement,2025-06-25,,,4,과징금;과태료;공표명령,55200000.0,동의·고지 위반,
10017,15,enforcement,2025-07-23,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,주식회사 잡보스대표자,2,시정명령,,유출·침해;동의·고지 위반;안전조치 미흡;보유기간·파기 위반;민감정보·고유식별정보;정보주체 권리보장,제15조;제24조;제24조의2;제60조의2;제64조;제64조의2
