decision_id,decision_date,year,document_category,sanction_strength,monetary_amount,outcome_high_sanction,outcome_has_fine,outcome_has_publication,outcome_has_correction,outcome_has_recommendation,outcome_data_request_allowed,outcome_data_request_denied,issue_id,issue_label
10007,2025-06-25,2025,other,0,,0,0,0,0,0,1,0,1,행태정보·맞춤형 광고·플랫폼 통제
1017,2012-06-11,2012,other,0,,0,0,0,0,1,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
1029,2017-04-24,2017,public_system_inspection,0,,0,0,0,0,0,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
10311,2025-05-14,2025,public_system_inspection,1,,0,0,0,0,1,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
1047,2018-03-26,2018,data_provision_request,0,,0,0,0,0,0,1,0,1,행태정보·맞춤형 광고·플랫폼 통제
1091,2015-12-28,2015,complaint_or_interpretation,0,,0,0,0,0,0,1,1,1,행태정보·맞춤형 광고·플랫폼 통제
1139,2017-01-09,2017,data_provision_request,0,,0,0,0,0,0,1,0,1,행태정보·맞춤형 광고·플랫폼 통제
1461,2022-04-27,2022,enforcement,4,1000000.0,1,1,0,0,0,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
191,2015-04-27,2015,public_system_inspection,0,,0,0,0,0,0,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
1977,2022-09-14,2022,enforcement,4,69241000000.0,1,1,1,1,0,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
1979,2022-09-14,2022,enforcement,4,30806000000.0,1,1,1,1,0,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
1995,2023-01-11,2023,data_provision_request,0,,0,0,0,0,0,1,0,1,행태정보·맞춤형 광고·플랫폼 통제
203,2015-06-08,2015,complaint_or_interpretation,0,,0,0,0,0,0,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
2221,2021-08-25,2021,enforcement,4,224000000.0,1,1,0,1,0,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
37,2018-07-09,2018,other,0,,0,0,0,0,0,1,0,1,행태정보·맞춤형 광고·플랫폼 통제
5073,2023-07-26,2023,enforcement,4,500000000.0,1,1,0,0,0,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
5141,2023-07-26,2023,data_provision_request,0,,0,0,0,0,0,1,1,1,행태정보·맞춤형 광고·플랫폼 통제
5267,2023-06-14,2023,other,0,,0,0,0,0,0,1,1,1,행태정보·맞춤형 광고·플랫폼 통제
5519,2023-02-08,2023,enforcement,4,6600000.0,1,1,1,1,0,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
557,2021-09-08,2021,data_provision_request,0,,0,0,0,0,0,0,1,1,행태정보·맞춤형 광고·플랫폼 통제
5627,2023-07-26,2023,enforcement,4,70.0,1,1,0,0,0,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
5629,2023-07-26,2023,enforcement,4,70.0,1,1,0,0,0,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
5631,2023-07-26,2023,enforcement,3,,1,0,0,0,0,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
6015,2024-03-27,2024,other,0,,0,0,0,0,0,1,0,1,행태정보·맞춤형 광고·플랫폼 통제
6173,2024-04-24,2024,other,0,,0,0,0,0,0,1,0,1,행태정보·맞춤형 광고·플랫폼 통제
6267,2023-03-22,2023,enforcement,4,12000000.0,1,1,1,0,0,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
6365,2023-10-11,2023,enforcement,4,1200000.0,1,1,0,0,1,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
6399,2023-12-13,2023,enforcement,4,6300000.0,1,1,1,0,0,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
6499,2024-04-24,2024,enforcement,4,7200000.0,1,1,1,0,0,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
6925,2024-07-10,2024,other,0,,0,0,0,0,0,1,0,1,행태정보·맞춤형 광고·플랫폼 통제
7165,2024-08-28,2024,enforcement,4,3000000.0,1,1,0,0,1,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
7211,2024-08-28,2024,enforcement,4,5400000.0,1,1,0,0,0,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
7219,2024-06-12,2024,other,1,,0,0,0,0,0,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
7601,2023-07-26,2023,enforcement,4,70.0,1,1,0,0,0,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
7607,2023-07-26,2023,enforcement,3,,1,0,0,0,0,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
7609,2023-07-26,2023,enforcement,4,70.0,1,1,0,0,0,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
7995,2024-03-27,2024,other,0,,0,0,0,0,0,1,0,1,행태정보·맞춤형 광고·플랫폼 통제
8139,2024-04-24,2024,other,0,,0,0,0,0,0,1,0,1,행태정보·맞춤형 광고·플랫폼 통제
8277,2023-03-22,2023,enforcement,4,12000000.0,1,1,1,0,0,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
8373,2023-10-11,2023,enforcement,4,1200000.0,1,1,0,0,1,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
8415,2023-12-13,2023,enforcement,4,6300000.0,1,1,1,0,0,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
8507,2024-04-24,2024,enforcement,4,7200000.0,1,1,1,0,0,0,0,1,행태정보·맞춤형 광고·플랫폼 통제
