decision_id,decision_date,year,document_category,topic_cluster,topic_label,topic_subtitle,sanction_strength,monetary_amount,factor_고유식별정보_포함_여부,factor_고의_또는_중과실,factor_공표_또는_시정명령_여부,factor_국외이전_고지_동의_여부,factor_금전_제재_여부,factor_내부통제_및_안전조치_수준,factor_동의_적법성,factor_민감정보_포함_여부,factor_반복성,factor_사후_시정_노력,factor_수집_이용_목적_명확성,factor_위반_기간,factor_정보주체_규모,factor_제3자_제공_또는_위탁_구조,factor_피해_발생_또는_위험_발생,outcome_high_sanction,outcome_has_fine,outcome_has_publication,outcome_has_correction,outcome_has_recommendation,outcome_data_request_allowed,outcome_data_request_denied
10001,2024-11-27,2024,privacy_impact_review,7.0,지방세·지방재정 법령 개인정보 평가,지방세 및 지방행정 관련 법령 개정안의 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10003,2025-06-25,2025,privacy_impact_review,47.0,행정·전자정부 법령 침해평가,행정 및 전자정부 관련 법령 개정안의 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10005,2025-06-25,2025,privacy_impact_review,47.0,행정·전자정부 법령 침해평가,행정 및 전자정부 관련 법령 개정안의 개인정보 침해요인 평가,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10007,2025-06-25,2025,other,-1.0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10009,2025-07-23,2025,enforcement,7.0,개인정보 종합 위반 시정조치,유출·동의·안전조치 등 복합 위반에 대한 시정명령,4,98000000.0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0
1001,2014-06-09,2014,complaint_or_interpretation,5.0,개인정보 처리·제공 관련 질의,공공기관의 개인정보 이용·제공·송달에 관한 민원 및 질의 응답,0,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
10011,2025-07-09,2025,data_provision_request,0.0,기관간 개인정보 목적외 제공,공공기관 업무 수행을 위한 보유 개인정보 제공 요청,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10013,2025-07-23,2025,other,10.0,공공기관 보유 개인정보 목적 외 이용,행정·복지·징수 업무 위한 개인정보 처리 적법성 심의,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10015,2025-06-25,2025,enforcement,2.0,동의·고지 의무 위반 사례,개인정보 수집·이용 시 동의 및 고지 의무 위반 결정,4,55200000.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
10017,2025-07-23,2025,enforcement,4.0,공공기관 개인정보 위반 시정조치,유출·안전조치 미흡 등 법규 위반에 대한 시정명령,2,,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1
10019,2025-07-23,2025,enforcement,11.0,법규위반 복합 시정조치,유출·동의·안전조치 등 복합 위반에 대한 시정조치,4,1200000.0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0
10021,2025-07-23,2025,other,5.0,개인정보 보호 개선권고,동의·고지·유출 관련 보호조치 개선권고 사례,4,100000000.0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0
10023,2025-07-23,2025,enforcement,6.0,개인정보 법규위반 시정조치,유출·동의위반·안전조치 미흡 등 복합위반 시정,4,6300000.0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0
10025,2025-07-23,2025,enforcement,7.0,개인정보 종합 위반 시정조치,유출·동의·안전조치 등 복합 위반에 대한 시정명령,4,343000000.0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0
