period,document_category,category_label,count
2012-2017,complaint_or_interpretation,민원·해석,39
2012-2017,data_provision_request,개인정보 제공 요청,9
2012-2017,enforcement,법규 위반·제재,9
2012-2017,other,기타,75
2012-2017,public_system_inspection,공공시스템·실태점검,3
2018-2021,complaint_or_interpretation,민원·해석,18
2018-2021,data_provision_request,개인정보 제공 요청,70
2018-2021,enforcement,법규 위반·제재,41
2018-2021,other,기타,83
2018-2021,privacy_impact_review,침해요인 평가,186
2018-2021,public_system_inspection,공공시스템·실태점검,1
2022-2026,complaint_or_interpretation,민원·해석,1
2022-2026,data_provision_request,개인정보 제공 요청,48
2022-2026,enforcement,법규 위반·제재,855
2022-2026,other,기타,195
2022-2026,prior_review,사전적정성 검토,8
2022-2026,privacy_impact_review,침해요인 평가,2233
2022-2026,public_system_inspection,공공시스템·실태점검,107
unknown,enforcement,법규 위반·제재,7
unknown,other,기타,2
