law_name,count
자동차관리법 시행규칙,19
주민등록법 시행령,14
도로교통법 시행규칙,13
고용보험법 시행규칙,13
공공주택 특별법 시행규칙,12
조세특례제한법 시행규칙,12
주민등록법 시행규칙,11
개인정보 보호법,11
도로교통법 시행령,10
항공안전법 시행규칙,10
관광진흥법 시행규칙,10
출입국관리법 시행규칙,9
전기통신사업법 시행령,9
문화재보호법 시행규칙,9
소득세법 시행규칙,9
사회보장급여의 이용ㆍ제공 및 수급권자 발굴에 관한 법률 시행령,9
지방세법 시행규칙,8
국가유공자 등 예우 및 지원에 관한 법률,8
국가유공자 등 예우 및 지원에 관한 법률 시행규칙,8
국가유공자 등 예우 및 지원에 관한 법률 시행령,8
병역법 시행규칙,8
개인정보 보호법 시행령,8
자본시장과 금융투자업에 관한 법률 시행령,7
의료법 시행규칙,7
원자력안전법 시행규칙,7
국민건강보험법 시행규칙,7
산업안전보건법 시행규칙,7
고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률 시행규칙,7
보훈보상대상자 지원에 관한 법률 시행규칙,7
보훈보상대상자 지원에 관한 법률 시행령,7
고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률 시행령,7
병역법 시행령,7
전기통신금융사기 피해 방지 및 피해금 환급에 관한 특별법 시행령,6
지방세징수법 시행령,6
대기환경보전법 시행규칙,6
식품위생법 시행규칙,6
종합부동산세법 시행규칙,6
공간정보의 구축 및 관리 등에 관한 법률 시행규칙,6
5ㆍ18민주유공자예우 및 단체설립에 관한 법률 시행규칙,6
특수임무유공자 예우 및 단체설립에 관한 법률 시행규칙,6
상속세 및 증여세법 시행규칙,6
고용보험법 시행령,6
특허법 시행규칙,6
보훈보상대상자 지원에 관한 법률,6
특수임무유공자 예우 및 단체설립에 관한 법률,6
도시 및 주거환경정비법 시행규칙,6
초ㆍ중등교육법 시행규칙,6
수도법 시행규칙,6
약사법 시행규칙,6
주택법 시행규칙,6
주택법 시행령,6
제대군인지원에 관한 법률,5
지방세법 시행령,5
신용정보의 이용 및 보호에 관한 법률 시행령,5
농지법 시행규칙,5
건축법 시행규칙,5
제주4ㆍ3사건 진상규명 및 희생자 명예회복에 관한 특별법 시행령,5
검찰사건사무규칙,5
수상레저안전법 시행규칙,5
문화재보호법 시행령,5
의약품 등의 안전에 관한 규칙,5
전파법 시행령,5
여권법 시행규칙,5
소방시설공사업법 시행규칙,5
수상레저안전법 시행령,5
고엽제후유의증 등 환자지원 및 단체설립에 관한 법률 시행규칙,5
참전유공자 예우 및 단체설립에 관한 법률 시행규칙,5
관세법 시행령,5
법인세법 시행규칙,5
자동차손해배상 보장법 시행령,5
보험업법 시행령,5
감염병의 예방 및 관리에 관한 법률 시행규칙,5
국세기본법 시행규칙,5
국제조세조정에 관한 법률 시행규칙,5
과세자료의 제출 및 관리에 관한 법률 시행규칙,5
산림보호법 시행령,5
야생생물 보호 및 관리에 관한 법률 시행규칙,5
산림자원의 조성 및 관리에 관한 법률 시행령,5
산림자원의 조성 및 관리에 관한 법률 시행규칙,5
민간임대주택에 관한 특별법 시행령,5
민간임대주택에 관한 특별법 시행규칙,5
5ㆍ18민주유공자예우 및 단체설립에 관한 법률,5
전통시장 및 상점가 육성을 위한 특별법 시행령,5
전세사기피해자 지원 및 주거안정에 관한 특별법 시행규칙,5
부동산 거래신고 등에 관한 법률 시행령,5
장애인복지법 시행령,5
수의사법 시행규칙,5
군인사법 시행령,5
지방세특례제한법 시행규칙,4
군보건의료에 관한 법률 시행령,4
대도시권 광역교통 관리에 관한 특별법 시행령,4
119구조ㆍ구급에 관한 법률 시행규칙,4
산업집적활성화 및 공장설립에 관한 법률 시행규칙,4
생활물류서비스산업발전법 시행령,4
독점규제 및 공정거래에 관한 법률 시행령,4
국적법 시행규칙,4
국민건강보험법 시행령,4
방송법 시행규칙,4
공직자윤리법 시행령,4
노인장기요양보험법 시행령,4
성폭력범죄의 처벌 등에 관한 특례법,4
국세기본법 시행령,4
국세징수법 시행령,4
특수임무유공자 예우 및 단체설립에 관한 법률 시행령,4
고엽제후유의증 등 환자지원 및 단체설립에 관한 법률 시행령,4
참전유공자 예우 및 단체설립에 관한 법률 시행령,4
제대군인지원에 관한 법률 시행령,4
발명진흥법 시행령,4
사회보장기본법 시행령,4
선원법 시행규칙,4
감염병의 예방 및 관리에 관한 법률 시행령,4
자동차관리법 시행령,4
방송법 시행령,4
독립유공자예우에 관한 법률 시행령,4
자원의 절약과 재활용촉진에 관한 법률 시행규칙,4
화학물질의 등록 및 평가 등에 관한 법률 시행규칙,4
초ㆍ중등교육법 시행령,4
건설폐기물의 재활용촉진에 관한 법률 시행령,4
식물방역법 시행령,4
식물방역법 시행규칙,4
주택공급에 관한 규칙,4
군인 재해보상법 시행규칙,4
자연유산의 보존 및 활용에 관한 법률 시행령,4
국민체육진흥법 시행규칙,4
수의사법 시행령,4
항공보안법 시행령,4
환경오염피해 배상책임 및 구제에 관한 법률 시행령,4
환경오염피해 배상책임 및 구제에 관한 법률 시행규칙,4
상표법 시행규칙,4
수도법 시행령,4
주택도시기금법 시행령,4
