year,document_category,category_label,count
2012,other,기타,5
2012,complaint_or_interpretation,민원·해석,2
2012,enforcement,법규 위반·제재,1
2013,other,기타,13
2013,complaint_or_interpretation,민원·해석,2
2013,enforcement,법규 위반·제재,1
2014,other,기타,22
2014,complaint_or_interpretation,민원·해석,4
2014,data_provision_request,개인정보 제공 요청,1
2014,enforcement,법규 위반·제재,1
2015,complaint_or_interpretation,민원·해석,15
2015,other,기타,11
2015,enforcement,법규 위반·제재,1
2015,public_system_inspection,공공시스템·실태점검,1
2016,complaint_or_interpretation,민원·해석,15
2016,other,기타,10
2016,enforcement,법규 위반·제재,1
2016,public_system_inspection,공공시스템·실태점검,1
2017,other,기타,14
2017,data_provision_request,개인정보 제공 요청,8
2017,enforcement,법규 위반·제재,4
2017,complaint_or_interpretation,민원·해석,1
2017,public_system_inspection,공공시스템·실태점검,1
2018,other,기타,21
2018,data_provision_request,개인정보 제공 요청,12
2018,privacy_impact_review,침해요인 평가,7
2018,enforcement,법규 위반·제재,6
2018,complaint_or_interpretation,민원·해석,1
2018,public_system_inspection,공공시스템·실태점검,1
2019,other,기타,29
2019,data_provision_request,개인정보 제공 요청,23
2019,complaint_or_interpretation,민원·해석,10
2019,enforcement,법규 위반·제재,7
2019,privacy_impact_review,침해요인 평가,6
2020,privacy_impact_review,침해요인 평가,134
2020,other,기타,19
2020,data_provision_request,개인정보 제공 요청,11
2020,complaint_or_interpretation,민원·해석,4
2020,enforcement,법규 위반·제재,1
2021,privacy_impact_review,침해요인 평가,39
2021,enforcement,법규 위반·제재,27
2021,data_provision_request,개인정보 제공 요청,24
2021,other,기타,14
2021,complaint_or_interpretation,민원·해석,3
2022,privacy_impact_review,침해요인 평가,333
2022,enforcement,법규 위반·제재,154
2022,data_provision_request,개인정보 제공 요청,18
2022,other,기타,17
2022,complaint_or_interpretation,민원·해석,1
2023,privacy_impact_review,침해요인 평가,512
2023,enforcement,법규 위반·제재,312
2023,other,기타,39
2023,public_system_inspection,공공시스템·실태점검,34
2023,data_provision_request,개인정보 제공 요청,13
2023,prior_review,사전적정성 검토,2
2024,privacy_impact_review,침해요인 평가,1139
2024,enforcement,법규 위반·제재,207
2024,other,기타,95
2024,public_system_inspection,공공시스템·실태점검,62
2024,data_provision_request,개인정보 제공 요청,10
2024,prior_review,사전적정성 검토,6
2025,privacy_impact_review,침해요인 평가,233
2025,enforcement,법규 위반·제재,154
2025,other,기타,39
2025,public_system_inspection,공공시스템·실태점검,11
2025,data_provision_request,개인정보 제공 요청,5
2026,enforcement,법규 위반·제재,28
2026,privacy_impact_review,침해요인 평가,16
2026,other,기타,5
2026,data_provision_request,개인정보 제공 요청,2
